Year,HTS_Code,Description,MFN_Rate,MFN_Rate_Raw,Category
2017,"85419000,""Parts of diodes, transistors, similar semiconductor devices, photosensitive semiconductor devices, LED's and mounted piezoelectric crystals"",""X"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""35%"",""7"",0.35,0.00,0.00,1/1/1989 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
2017,"85423100,""Processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or oth"",""NO"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""35%"",""7"",0.35,0.00,0.00,1/1/2007 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
2017,"85423200,""Memories"",""NO"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""35%"",""7"",0.35,0.00,0.00,1/1/2007 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
2017,"85423300,""Amplifiers"",""NO"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""35%"",""7"",0.35,0.00,0.00,1/1/2007 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
2017,"85423900,""Electronic integrated circuits, NESOI"",""NO"",,""B"",""Free"",""0"",,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""35%"",""7"",0.35,0.00,0.00,1/1/2007 0:00:00,12/31/2050 0:00:00,,,,,,,,,,,,,,,,,,",,,,Chip
2017,"87031010,""Motor vehicles specially designed for traveling on snow"",""NO"",,""B"",""2.5%"",""7"",,0.02,0.00,0.00,""Free (A+,AU,B,BH,CA,CL,CO,D,E,IL,JO,KR,MA,MX,OM,P,PA,PE,SG)"",,""A+"",,""B"",,""CA"",""MX"",""0"",0.00,0.00,""E"",0.00,0.00,""D"",,,,,""IL"",,,,,""JO"",""0"",0.00,0.00,0.00,""SG"",""0"",0.00,0.00,0.00,""CL"",""0"",0.00,0.00,0.00,""MA"",""0"",0.00,0.00,0.00,""AU"",""0"",0.00,0.00,0.00,""BH"",""0"",0.00,0.00,0.00,""P"",""0"",0.00,0.00,0.00,,,,,,""OM"",""0"",0.00,0.00,0.00,""PE"",""0"",0.00,0.00,0.00,,,""10%"",""7"",0.10,0.00,0.00,1/1/2016 0:00:00,12/31/2050 0:00:00,,,""KR"",""0"",0.00,0.00,0.00,""CO"",""0"",0.00,0.00,0.00,""PA"",""0"",0.00,0.00,0.00,",,,,Auto
2017,"87031050,""Golf carts and similar motor vehicles"",""NO"",,""B"",""2.5%"",""7"",,0.02,0.00,0.00,""Free(A,AU,B,BH,CA,CL,CO,D,E,IL,JO,KR,MA,MX,OM,P,PA,PE,SG)"",,""A"",,""B"",,""CA"",""MX"",""0"",0.00,0.00,""E"",0.00,0.00,""D"",,,,,""IL"",,,,,""JO"",""0"",0.00,0.00,0.00,""SG"",""0"",0.00,0.00,0.00,""CL"",""0"",0.00,0.00,0.00,""MA"",""0"",0.00,0.00,0.00,""AU"",""0"",0.00,0.00,0.00,""BH"",""0"",0.00,0.00,0.00,""P"",""0"",0.00,0.00,0.00,,,,,,""OM"",""0"",0.00,0.00,0.00,""PE"",""0"",0.00,0.00,0.00,,,""10%"",""7"",0.10,0.00,0.00,1/1/2016 0:00:00,12/31/2050 0:00:00,,,""KR"",""0"",0.00,0.00,0.00,""CO"",""0"",0.00,0.00,0.00,""PA"",""0"",0.00,0.00,0.00,",,,,Auto
2017,"87032101,""Motor vehicles to transport persons, w/spark-ign. IC recip. piston engine, w/cyl capacity <= 1, 000 cc"",""NO"",,""B"",""2.5%"",""7"",,0.02,0.00,0.00,""Free (A+,AU,B,BH,CA,CL,CO,D,E,IL,JO,KR,MA,MX,OM,P,PA,PE,SG)"",,""A+"",,""B"",,""CA"",""MX"",,,,""E"",,,""D"",,,,,""IL"",,,,,""JO"",,,,,""SG"",,,,,""CL"",,,,,""MA"",,,,,""AU"",,,,,""BH"",,,,,""P"",,,,,,,,,,""OM"",,,,,""PE"",,,,,,,""10%"",,,,,1/1/2017 0:00:00,12/31/2050 0:00:00,,,""KR"",""0"",0.00,0.00,0.00,""CO"",,,,,""PA"",,,,,",,,,Auto
2017,"87032201,""Motor vehicles to transport persons, w/spark-ign. IC recip. piston engine, w/cyl capacity > 1, 000cc but <=1, 500cc"",""NO"",,""B"",""2.5%"",""7"",,0.02,0.00,0.00,""Free (A+,AU,B,BH,CA,CL,CO,D,E,IL,JO,KR,MA,MX,OM,P,PA,PE, SG)"",,""A+"",,""B"",,""CA"",""MX"",,,,""E"",,,""D"",,,,,""IL"",,,,,""JO"",,,,,""SG"",,,,,""CL"",,,,,""MA"",,,,,""AU"",,,,,""BH"",,,,,""P"",,,,,,,,,,""OM"",,,,,""PE"",,,,,,,""10%"",,,,,1/1/2017 0:00:00,12/31/2050 0:00:00,,,""KR"",""0"",0.00,0.00,0.00,""CO"",,,,,""PA"",,,,,",,,,Auto
2017,"87032301,""Motor vehicles to transport persons, w/spark-ign. IC recip. piston engine, w/cyl capacity >1, 500cc but <=3, 000cc"",""NO"",,""B"",""2.5%"",""7"",,0.02,0.00,0.00,""Free (A+,AU,B,BH,CA,CL,CO,D,E,IL,JO,KR,MA,MX,OM, P,PA,PE,SG)"",,""A+"",,""B"",,""CA"",""MX"",,,,""E"",,,""D"",,,,,""IL"",,,,,""JO"",,,,,""SG"",,,,,""CL"",,,,,""MA"",,,,,""AU"",,,,,""BH"",,,,,""P"",,,,,,,,,,""OM"",,,,,""PE"",,,,,,,""10%"",,,,,1/1/2017 0:00:00,12/31/2050 0:00:00,,,""KR"",""0"",0.00,0.00,0.00,""CO"",,,,,""PA"",,,,,",,,,Auto
